LINEA;ID;COBROS
AGRO;CEQ145943;22,885.11
AGRO;CEQ145944;9,311.55
AGRO;CEQ145945;20,783.39
AGRO;CEQ145946;867.00
AGRO;CEQ145947;146.00
AGRO;CEQ145948;1,147.91
AGRO;CEQ145949;6,362.07
AGRO;CEQ145950;15,515.37
AGRO;CEQ145951;4,156.00
AGRO;CEQ145952;1,176.43
AGRO;CEQ145953;4,920.03
AGRO;CEQ145954;1,039.91
AGRO;CEQ145955;3,344.28
AGRO;CEQ145956;27,172.08
AGRO;CEQ145957;81,037.27
AGRO;CEQ145958;16,257.69
AGRO;CEQ145959;15,327.78
AGRO;CEQ145960;40,329.62
AGRO;CEQ145961;14,323.00
AGRO;CEQ145962;34,338.57
AGRO;CEQ145963;36,578.68
AGRO;CEQ145964;23,907.25
AGRO;CEQ145965;5,703.13
AGRO;CEQ145966;56,077.82
AGRO;CEQ145967;20,222.62
AGRO;CEQ145968;22,614.83
AGRO;CEQ145969;107,876.69
AGRO;CEQ145970;23,282.51
AGRO;CEQ145971;16,520.06
AGRO;CEQ145972;28,687.56
AGRO;CEQ145973;32,677.93
AGRO;CEQ145974;14,762.83
AGRO;CEQ145975;30,633.69
AGRO;CEQ145976;14,857.18
AGRO;CEQ145977;135,914.77
AGRO;CEQ145978;132,421.68
AGRO;CEQ145979;30,696.18
AGRO;CEQ145980;110,599.98
AGRO;CEQ145981;70,363.52
AGRO;CEQ145982;37,380.73
AGRO;CEQ145983;15,208.39
AGRO;CEQ145984;22,368.85
AGRO;CEQ145985;35,356.54
AGRO;CEQ145986;47,513.22
AGRO;CEQ145987;57,122.23
AGRO;CEQ145988;39,078.22
AGRO;CEQ145989;5,714.85
AGRO;CEQ145990;2,409.05
AGRO;CEQ145991;4,328.40
AGRO;CEQ145992;7,566.68
AGRO;CEQ145993;9,720.61
AGRO;CEQ145994;2,506.47
AGRO;CEQ145995;6,055.03
AGRO;CEQ145996;9,720.56
AGRO;CEQ145997;313.58
AGRO;CEQ145998;59,955.16
AGRO;CEQ145999;1,761.60
AGRO;CEQ146000;17,092.75
AGRO;CEQ146001;101,397.00
AGRO;CEQ146002;8,291.86
AGRO;CEQ146003;5,108.45
AGRO;CEQ146004;24,119.80
AGRO;CEQ146005;15,099.20
AGRO;CEQ146006;16,925.82
AGRO;CEQ146007;23,381.92
AGRO;CEQ146008;14,328.33
AGRO;CEQ146009;2,760.87
AGRO;CEQ146010;13,449.96
AGRO;CEQ146011;2,304.65
AGRO;CEQ146012;36,082.93
AGRO;CEQ146013;4,498.02
AGRO;CEQ146014;19,202.19
AGRO;CEQ146015;838.53
AGRO;CEQ146016;5,628.75
AGRO;CEQ146017;20,990.80
AGRO;CEQ146018;12,741.16
AGRO;CEQ146019;7,787.18
AGRO;CEQ146020;27,107.49
AGRO;CEQ146021;1,986.06
AGRO;CEQ146022;364.59
AGRO;CEQ146023;14,090.95
AGRO;CEQ146024;312.40
AGRO;CEQ146025;357.56
AGRO;CEQ146026;1,393.23
AGRO;CEQ146027;114,612.58
AGRO;CEQ146028;11,782.34
AGRO;CEQ146029;16,910.03
AGRO;CEQ146030;12,387.22
AGRO;CEQ146031;9,955.09
AGRO;CEQ146032;593.56
AGRO;CEQ146033;14,167.57
AGRO;CEQ146034;10,924.04
AGRO;CEQ146035;11,517.67
AGRO;CEQ146036;41,425.82
AGRO;CEQ146037;12,137.26
AGRO;CEQ146038;14,542.69
AGRO;CEQ146039;11,522.50
AGRO;CEQ146040;16,052.69
AGRO;CEQ146041;26,252.11
AGRO;CEQ146042;112,482.63
AGRO;CEQ146043;2,242.68
AGRO;CEQ146044;9,140.07
AGRO;CEQ146045;3,518.06
AGRO;CEQ146046;8,930.57
AGRO;CEQ146047;68,900.59
AGRO;CEQ146048;541.67
AGRO;CEQ146049;1,134.85
AGRO;CEQ146050;12,927.66
AGRO;CEQ146051;73,986.05
AGRO;CEQ146052;7,897.19
AGRO;CEQ146053;25,980.34
AGRO;CEQ146054;8,887.42
AGRO;CEQ146055;16,600.58
AGRO;CEQ146056;13,728.69
AGRO;CEQ146057;903.36
AGRO;CEQ146058;88,852.95
AGRO;CEQ146059;1,506.23
AGRO;CEQ146060;25,844.67
AGRO;CEQ146061;5,413.92
AGRO;CEQ146062;127,303.09
AGRO;CEQ146063;22,807.54
AGRO;CEQ146064;12,714.49
AGRO;CEQ146065;35,087.67
AGRO;CEQ146066;15,072.45
AGRO;CEQ146067;39,903.84
AGRO;CEQ146068;56,671.81
AGRO;CEQ146069;16,903.68
AGRO;CEQ146070;2,443.66
AGRO;CEQ146071;76,061.58
AGRO;CEQ146072;28,017.16
AGRO;CEQ146073;37,329.71
AGRO;CEQ146074;26,119.66
AGRO;CEQ146075;47,900.98
AGRO;CEQ146076;49,368.58
AGRO;CEQ146077;65,836.97
AGRO;CEQ146078;6,210.92
AGRO;CEQ146079;9,694.63
AGRO;CEQ146080;22,882.86
AGRO;CEQ146081;11,527.06
AGRO;CEQ146082;15,301.79
AGRO;CEQ146083;59,065.73
AGRO;CEQ146084;4,182.45
AGRO;CEQ146085;27,556.28
AGRO;CEQ146086;11,899.14
AGRO;CEQ146087;43,950.25
AGRO;CEQ146088;29,173.57
AGRO;CEQ146089;25,541.09
AGRO;CEQ146090;22,634.73
AGRO;CEQ146091;9,739.62
AGRO;CEQ146092;2,846.72
AGRO;CEQ146093;7,803.33
AGRO;CEQ146094;1,038.32
AGRO;CEQ146095;2,521.37
AGRO;CEQ146096;2,621.89
AGRO;CEQ146097;1,061.59
AGRO;CEQ146098;10,675.24
AGRO;CEQ146099;13,141.90
AGRO;CEQ146100;318.86
AGRO;CEQ146101;3,774.11
AGRO;CEQ146102;1,425.67
AGRO;CEQ146103;4,514.91
AGRO;CEQ146104;3,755.99
AGRO;CEQ146105;3,400.00
AGRO;CEQ146106;10,466.05
AGRO;CEQ146107;2,832.54
AGRO;CEQ146108;7,246.25
AGRO;CEQ146109;417.80
AGRO;CEQ146110;4,736.27
AGRO;CEQ146111;3,346.54
AGRO;CEQ146112;3,177.90
AGRO;CEQ146113;6,889.11
AGRO;CEQ146114;3,213.32
AGRO;CEQ146115;5,895.92
AGRO;CEQ146116;9,498.14
AGRO;CEQ146117;22,117.94
AGRO;CEQ146118;7,070.28
AGRO;CEQ146119;47,547.80
AGRO;CEQ146120;10,054.09
AGRO;CEQ146121;5,468.66
AGRO;CEQ146122;18,297.06
AGRO;CEQ146123;10,886.23
AGRO;CEQ146124;13,434.58
AGRO;CEQ146125;110,774.28
AGRO;CEQ146126;32,374.51
AGRO;CEQ146127;79,878.40
AGRO;CEQ146128;61,156.88
